"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
792,US,A1,US 2004/0040196 A1,119-555-278-848-976,2004-03-04,2004,US 64006403 A,2003-08-13,US 64006403 A;;US 40754102 P,2002-08-30,Measuring tape for use with a fishing net,"
   A retractable measuring tape can be removably attached to the handle of a fishing net adjacent to the proximal end of the net. The measuring tape can be extended to measure a fish laying in the net submerged under water. With the tape measure secured to the net handle, it is always available for use and makes the measurement process convenient and efficient. The measuring tape has opposing lateral straps that extend laterally outward to wrap around the handle of a fishing net. The ends of the straps can be removably secured together by means of Velcro or other types of adjustable fasteners. A third strap extends perpendicular to the lateral straps through the net opening. The end of the third strap can be removably secured to the lateral straps by means of Velcro or other types of adjustable fasteners. 
",SCHWARTZ STEVEN S.,SCHWARTZ STEVEN S,,https://lens.org/119-555-278-848-976,Patent Application,yes,13,11,1,1,0,A01K77/00;;A01K77/00;;G01B3/1084;;G01B3/1084,A01K77/00;;G01B3/10,43/11;;33/768,0,0,,,,DISCONTINUED
793,KR,A,KR 20200142891 A,140-057-097-887-377,2020-12-23,2020,KR 20190070357 A,2019-06-14,KR 20190070357 A,2019-06-14,Cutting ground,"The present invention relates to a hairtail fishing gear capable of evenly winding a fishing line on the entire outer circumferential surface of a rotating reel and, more specifically, to a hairtail fishing gear comprising: a case; a drive shaft; a rotating reel; and a guide part.",PARK SUNG MIN,PARK SUNG MIN,,https://lens.org/140-057-097-887-377,Patent Application,no,1,0,1,1,0,A01K91/18;;A01K77/00;;A01K2227/40,A01K91/18;;A01K77/00,,0,0,,,,DISCONTINUED
794,US,A,US 2539563 A,141-448-600-626-006,1951-01-30,1951,US 9798749 A,1949-06-09,US 9798749 A,1949-06-09,Gaffing and landing net,,BALOUN HARRY F,BALOUN HARRY F,,https://lens.org/141-448-600-626-006,Granted Patent,no,3,10,1,1,0,A01K77/00;;A01K77/00,A01K77/00,,0,0,,,,EXPIRED
795,AU,A1,AU 2022/331910 A1,137-745-740-525-318,2023-05-11,2023,AU 2022/331910 A,2022-10-07,AU 2021/903401 A;;AU 2022/902099 A;;AU 2022/051205 W,2021-10-25,Foldable landing net,"An angler landing net comprising a handle and a a net support provided in two net support parts. The net support parts being pivotally connected to one another about two pivot points so that the net is foldable to a closed, storage, position and openable to an open, in use, position. The two pivot points comprising a first pivot point and a second pivot point. A locking mechanism is arranged at the first pivot point. The locking mechanism comprises an elongate locking pin associated with the handle. The elongate locking pin movable to pass through aligned apertures in first ends of the net support parts to thereby lock them in the open position. The elongate locking pin movable out of at least one of the aligned apertures in one of the first ends of the net support parts to allow at least one of the net support parts to be foldable about the pivot points to the closed position.",HANTON RUSSELL MR,HANTON RUSSELL,,https://lens.org/137-745-740-525-318,Patent Application,no,6,0,3,3,0,A01K77/00;;A01K77/00,A01K77/00,,0,0,,,,ACTIVE
796,KR,A,KR 20050078651 A,128-106-113-491-123,2005-08-05,2005,KR 20050009421 A,2005-02-02,EP 04405064 A,2004-02-02,METHOD FOR THE DESIGN OF A REGULATOR FOR VIBRATION DAMPING AT A LIFT CAGE,,INVENTIO AG,HUSMANN JOSEF;;MUSCH HANS,,https://lens.org/128-106-113-491-123,Patent Application,no,0,0,20,22,0,B66B7/041;;B66B7/046;;A01K77/00;;B66B7/046;;B66B7/041,B66B1/00;;B66B1/44;;B66B7/04,,0,0,,,,ACTIVE
797,CN,A,CN 109247309 A,134-749-630-373-930,2019-01-22,2019,CN 201811111908 A,2018-09-25,CN 201811111908 A,2018-09-25,Fishing net,"The invention relates to a fishing net. The fishing net comprises a fixed fishing net frame and a rotatable fishing net frame, the fixed fishing net frame and the rotatable fishing net frame are halffishing net frames respectively and form a fishing net frame, and a fishing net is installed on the fixed fishing net frame and the rotatable fishing net frame; a rotation shaft base is fixedly connected to the front end of the fixed fishing net frame, and a rotation shaft is arranged at the front end of the rotatable fishing net frame; the rotation shaft is installed in a rotation shaft base; a sleeve is fixedly connected to the rear end of the fixed fishing net frame, a rotation rod is connected to the rear end of the rotatable fishing net frame, the rotatable fishing net frame and the rotation rod are integrated, the rotation rod is arranged in the sleeve, and a rotation handle is fixedly connected to the tail end of the rotation rod. The fishing net is characterized in that the rotation handle can be clamped to the sleeve, and the rotation rod is pulled out to achieve separation of the clamping state. When the fishing net is used, the rotation handle is rotated anticlockwise, so that the rotatable fishing net frame rotates anticlockwise and is buckled to the fixed fishing net frame, fishes cannot jump for escape after being fished, and therefore the fishing efficiency is high.",CHEN AZHEN,CHEN AZHEN,,https://lens.org/134-749-630-373-930,Patent Application,no,0,0,1,1,0,A01K77/00,A01K77/00,,0,0,,,,DISCONTINUED
798,US,A,US 2683949 A,139-988-990-954-958,1954-07-20,1954,US 30712152 A,1952-08-29,US 30712152 A,1952-08-29,Collapsible fish net,,BEREZANSKY ALEX S,BEREZANSKY ALEX S,,https://lens.org/139-988-990-954-958,Granted Patent,no,5,11,1,1,0,A01K77/00;;A01K77/00,A01K77/00,,0,0,,,,EXPIRED
799,GB,A,GB 448587 A,139-958-584-427-311,1936-06-11,1936,GB 1698935 A,1935-06-13,GB 1698935 A,1935-06-13,Improvement in angler's landing net,A landing net is buoyed with floats to enable the net to float at any desired depth. A haulage line is secured to the frame.,FRANCIS GIVERAN PARRY,,,https://lens.org/139-958-584-427-311,Granted Patent,no,0,2,1,1,0,A01K77/00,A01K77/00,,0,0,,,,EXPIRED
800,KR,B1,KR 102351092 B1,133-567-497-476-338,2022-01-14,2022,KR 20200020180 A,2020-02-19,KR 20200020180 A,2020-02-19,NETHAULER SYSTEM,"양망기 시스템이 개시된다. 일실시예에 따른 양망기 시스템은 뜸줄 가이드 봉의 압전센서를 통한 봉 측압 감지 및 양망 롤러의 유압모터 부하감지장치를 통한 압력 감지를 바탕으로 상하압착 미세조정을 수행하는 뜸줄 양망기; 악력장치를 통한 악력감지 및 장력감지장치를 통한 장력감지를 바탕으로 상하압착 조정을 수행하는 발줄 양망기; 뜸줄 양망기와 발줄 양망기를 통해 끌어올려지는 어망의 이상 여부를 감지하는 어구이상동작감지장치; 및 어망을 선상에서 자동으로 정리하는 어망 정리기를 포함하고, 뜸줄 양망기 및 발줄 양망기는 뜸줄과 발줄을 분리하여 끌어올림으로써 그물 정리를 최적화하고, 발줄 양망기는 발줄을 악력식-악력식은 어망의 발줄을 끌어올림에 있어 힘 점을 작용점 쪽으로 번갈아 이동시켜가며 끌어올리는 방식임-으로 끌어올리고, 뜸줄 양망기는 긴 어망 길이의 해소를 위해 나머지 어망 일부를 끌어올릴 수 있다.",주식회사 수산해양과학기술,박주삼,,https://lens.org/133-567-497-476-338,Granted Patent,no,0,0,2,2,0,A01K73/06;;A01K77/00;;A61B5/22;;H04N7/18;;G06N3/04;;G06N3/08;;H04N23/70,A01K73/06;;A01K77/00;;A61B5/22;;G06N3/04;;G06N3/08;;H04N5/235;;H04N7/18,,0,0,,,,ACTIVE
801,KR,B1,KR 102207638 B1,144-906-683-246-82X,2021-01-26,2021,KR 20200042307 A,2020-04-07,KR 20200042307 A,2020-04-07,DEVICE FOR CONNECTING FISHING TOOL,"The present invention relates to a fishing tool connector. The fishing tool connector comprises: a connector body with an inner portion vertically penetrated; and a rod penetrating the inside of the body and inserted to be able to vertically move. The body includes a recessed part having a predetermined depth or height to accommodate a head part of the rod with respect to a central through-hole into which the rod is inserted. An inner wall of the recessed part and the head part of the rod include one or more protrusions or groove-shaped forming parts capable of being engaged with each other at least on both sides and a rear side, respectively, so as to prevent the occurrence of torsion between the body and the rod by external force and to prevent the occurrence of bending of the head part to the rear of the connector by the tension of a rope when a fishing tool is detached.",PARK MYUNG OH,PARK MYUNG OH,,https://lens.org/144-906-683-246-82X,Granted Patent,no,6,0,1,1,0,A01K77/00,A01K77/00,,0,0,,,,ACTIVE
802,US,B2,US 8887434 B2,149-964-593-585-825,2014-11-18,2014,US 201013382444 A,2010-07-05,US 201013382444 A;;US 22321409 P;;US 32287610 P;;US 2010/0041005 W,2009-07-06,System for harvesting marine species members including those that present a danger to a harvester,"Devices, methods, and systems are disclosed for harvesting a member of a marine species while minimizing or preventing contact between the harvester and the marine species. Certain embodiments reduce the opportunity for contact between the harvester and the harvested member by providing mechanical means for removing the harvested member from a spear. The invention method includes, in one case, the steps of impaling the marine species member, removing the member from the impaling device, and securing the removed member in a manner to prevent contact with the harvester during each step of the method.",WAUGH GREGG;;SEASOLUTIONS LLC,WAUGH GREGG,SEASOLUTIONS LLC (2011-02-10),https://lens.org/149-964-593-585-825,Granted Patent,yes,18,5,6,6,0,A01K81/04;;A01K81/04;;A01K77/00;;A01K77/00;;A01K97/20;;A01K97/20;;F41B13/10;;F41B13/10,A01K81/04;;A01K77/00;;A01K97/20;;F41B13/10,43/6,8,0,,,"Fishspearit, Inc. ""Foldspears"" (accessed Jan. 25, 2012), at http://www.foldspear.com/store/index.php?main-page=index&cPath=6&zenid=e151097b57c4deee9908e79159f15706.;;Reef Protection Inc. ""ELF (Patent Pending) Details"" (accessed Jan. 25, 2012), at http://www.reefprotectioninc.com/ELFDetails.aspx. (""(C) 2009-2012."").;;AcuSpear ""The Reef Defender: A Precision, Non-Projectile Lionfish Spear"" (accessed Jan. 25, 2012), at http://www.acuspear.com/reef-defender-lionfish-spear. (""(C) 2010""). (Webpage showing images.).;;AcuSpear ""The Reef Defender: A Precision, Non-Projectile Lionfish Spear"" (accessed Jan. 25, 2012), at http://www.acuspear.com/reef-defender-lionfish-spear. (""(C) 2010""). (Text file.).;;""The Frapper"" (accessed Jan. 25, 2012), at http://www.thefrapper.com/.;;Armor Products Manufacturing, Inc. ""Bait Bags, Catch Bags and Fisheries Products"" (accessed Jan. 25, 2012), at http://www.armorbags.com/baitbags.htm. (""Copyright (C) 2006."").;;International Preliminary Report on Patentability, PCT Application No. PCT/US2010/041005 (Jan. 10, 2012).;;International Search Report and Written Opinion for PCT/US2010/041005, dated Feb. 24, 2011 (11 pages).",ACTIVE
803,US,A,US 87740 A,150-717-131-722-271,1869-03-09,1869,US 87740D A,,,,US 87740 A,,,,,https://lens.org/150-717-131-722-271,Granted Patent,no,0,2,1,1,0,A01K77/00;;A01K77/00,,,0,0,,,,EXPIRED
804,US,B2,US 7337576 B2,146-515-630-342-185,2008-03-04,2008,US 77003104 A,2004-02-02,US 77003104 A;;US 44723403 P,2003-02-12,"Methods and devices of the net apparatus, the fishing rod and the spinning mechanism combination","A fishing rod/net-lasso(s) apparatus combination used as a single product. An angler can fish, net or lasso a caught fish and lift it from any place for fishing, in the summer, winter, or any other season. It is comprised of: a fishing rod with fishing devices; a net-lasso(s) or other device, every net having attached to it a heavy weight; an extra line that connects, on one side, to a soft net or lasso(s) and on the other side to an extra spinning mechanism or another extra line keeper on a fishing rod; a net-lasso together with its keeper/holder, that has a track inside it, the track is slide-joined to a fishing rod and can slide over and around a fishing rod, a fishing line, a kill-devil, a bobber or other fishing line device to the mouth of a caught fish. Then only the net or lasso(s) slides over the caught fish, from its head to tail, netting or lassoing the caught fish, because the fish flippers, gills and flanks are entangled in the netting and the fish is held inside the net or lasso(s) when angler pulls the extra line back.",BOLTAN ZINAIDA;;ANDRIANOV TANYA;;DONIN YAKOV JOHN,BOLTAN ZINAIDA;;ANDRIANOV TANYA;;DONIN YAKOV JOHN,,https://lens.org/146-515-630-342-185,Granted Patent,yes,9,4,2,2,0,A01K77/00;;A01K87/007;;A01K87/007;;A01K77/00,A01K97/14;;A01K77/00;;A01K87/00,43/5;;43/7,0,0,,,,INACTIVE
805,GB,B,GB 2253982 B,153-435-180-858-558,1994-08-31,1994,GB 9203800 A,1992-02-21,GB 9203800 A;;GB 9103842 A;;GB 9201784 W,1991-02-23,Fishing net,,MOLLOY JAMES;;JCJ LIMITED,MOLLOY JAMES,,https://lens.org/153-435-180-858-558,Granted Patent,no,5,0,10,10,0,A01K77/00;;A01K77/00,A01K77/00,A1A A36           A36,0,0,,,,EXPIRED
806,US,A1,US 2016/0007580 A1,144-708-303-132-39X,2016-01-14,2016,US 201514796436 A,2015-07-10,US 201514796436 A;;US 201462023286 P,2014-07-11,HANDHELD FISHING NET FRAME,A hand held fishing net frame comprising a composite fiber shell filled with a closed cell foam.,BEST KEVIN;;HUNG SHUO-HUNG,BEST KEVIN;;HUNG SHUO-HUNG,,https://lens.org/144-708-303-132-39X,Patent Application,yes,12,1,1,1,0,A01K75/04;;A01K75/04;;A01K77/00;;A01K77/00,A01K75/04;;A01K77/00,,6,0,,,"""Project: The secret of how to make your own $4 fishing net""; 2010; Four Dollar Fishing Net; <http://sites.google.com/site/fourdollarfishingnet/home/make-your-own-4-fishing-net>.;;Ladd, Tucker; ""Gear Review: Nomad Guide Landing Net""'; 6/28/2011; Trouts Fly Fishing; <http://troutsflyfishing.com/info/blog/post/gear-review-nomad-guide-landing-net>.;;Mortenson, Cameron; ""Nomad Fly Fishing Nets Review; 2/13/2012; The Fiberglass Manifesto; <http://thefiberglassmanifesto.blogspot.com/2012/02/nomad-fly-fishing-nets-review.html>.;;Gracie, Michael; ""Carrying On: The Innovative Nomad Fly-Fishing Guide Net""; accessible 6/25/2011 as evidenced by archive.org; MidCurrent; <http://midcurrent.com/gear/review-nomad-fly-fishing-guide-net/>.;;""Fishpond Acquires Nomad Nets and Brings Kevin Best on Board""; 7/22/2013; <http://new.pitchengine.com/pitches/0d1014b8-ce35-4d7e-862c-eed2626f125e>.;;Josh Cheong; ""Review: Fishpond Nomad Hand Net""; 5/28/2014; In Depth Angler; <http://www.indepthangler.com.au/review/review-fishpond-nomad-hand-net/>.",DISCONTINUED
807,GB,A,GB 962104 A,165-472-345-269-961,1964-06-24,1964,GB 3529659 A,1959-10-19,GB 3529659 A,1959-10-19,Improvements in landing nets,"962,104. Anglers' landing nets. R. SPENCER. Oct.19, 1960 [Oct. 19, 1959], No. 35296/59. Heading A1A. A landing net comprises a pair of hollow net supporting arms 14 pivoted to a carrier 12 slidable on a handle 10 from a stowed position near a hand grip 11 to an in-use position at the other end, and means for opening the arms when the carrier is in the in-use position. The means for opening the arms comprises a slidable spindle 22 which extends from a boss 23 mounted on the hand grip end of the handle; the spindle is turned back at its forward end and enters a bore in the forward end of the handle. The bore contains a spring which urges the spindle forwardly. The rear end of the spindle has a catch 24 which co-operates with slots 23b in the boss 23 to hold the spindle retracted. The arms 14 are actuated by a toggle system consisting of two pairs of bars 16, 17 pivoted to a slide bar 19 slidable on the spindle 22 and having a spring mounted rib 32 engaging a shoulder on a stop 29 on the forward end of the spindle 22. The carrier is held in forward position by a blade spring and stud 30a engaging a head 30 on the front end of the handle 10. In operation the carrier is slid manually to the forward end of the handle and the spindle 22 is drawn back to move the slide bar 19 and the toggle linkage to pivot the arms outwardly. The catch 24 is then engaged. Releasing the catch allows the spindle to be moved forwardly by its spring and, as the rib 32 is engaged with the shoulder of the stop 29, the slide bar 19 also moves forwardly to close the arms. To return the net to the stowed position the arms are first set in the open position and the carrier then slid back. The stud 30a first disengages from the head 30 to allow the carrier to move relatively to the slide bar 19 to close the arms. The rib 32 then disengages from the shoulder on the stop 29 so that the carrier and slide bar can be slid along the handle. The slide bar 19 is assisted in sliding rearwardly relative to the carrier by a spring T located between a lug 25 on the carrier and a sleeve 26 which slides on the spindle 22 and abuts on end 21 of the slide bar. A blade spring 27 secured to the carrier has a rib 27a which is forced into engagement with the end of the sleeve 26 by a bolt 19a. When the slide bar is moved rearwardly the rib 27a disengages but when the carrier is moved rearwardly the rib 27a remains engaged. The carrier has a U-clip 28 for engaging the angler's belt; The opening of the clip can be varied by a screw and spring 28a; the clip may swivel. A bead coated with luminous material and a wire guard may be mounted at the end of each net arm. The front of the net is supported by a cord which passes into the hollow arms and is resiliently mounted therein.",ROBERT SPENCER,,,https://lens.org/165-472-345-269-961,Granted Patent,no,0,3,1,1,0,A01K77/00,A01K77/00,,0,0,,,,EXPIRED
808,US,A1,US 2005/0055864 A1,158-798-619-754-654,2005-03-17,2005,US 66207103 A,2003-09-15,US 66207103 A,2003-09-15,Foot operated fishing net tipper,"The present invention relates to a foot operated fishing net tipping apparatus releasably attached to a fishing boat comprising: a boat-attaching portion, a net-holding portion, a lock portion, a foot pedal portion and connecting members. A conventional fishing net is therefore frictionally attached within an opening of the net-attaching portion, which rotably pivots atop the boat-attaching portion. A foot pedal is linked to the net-attaching portion as such to allow the pedal's motion to be transferred to the net-attaching portion. A fisherman can raise and lower the fishing net with one foot, thereby freeing both hands for the fishing rod.",ROBICHAUD PERRY,ROBICHAUD PERRY,,https://lens.org/158-798-619-754-654,Patent Application,yes,6,6,2,2,0,A01K77/00;;A01K77/00,A01K77/00,43/8,0,0,,,,EXPIRED
809,CH,A,CH 289913 A,160-942-339-186-061,1953-04-15,1953,CH 289913D A,1949-04-19,FR 289913X A;;FR 130449X A,1948-05-20,Equisette pour la pêche.,,DELCEY RAYMOND LOUIS EUGENE,RAYMOND-LOUIS-EUGENE DELCEY,,https://lens.org/160-942-339-186-061,Granted Patent,no,0,1,1,1,0,A01K77/00,A01K77/00,3C,0,0,,,,EXPIRED
810,KR,Y1,KR 200186610 Y1,168-144-621-899-30X,2000-06-15,2000,KR 19990028769 U,1999-12-15,KR 19990028769 U,1999-12-15,HAULING DEVICE,,PARK YUN HYEON,PARK YUN HYEON,,https://lens.org/168-144-621-899-30X,Unknown,no,0,0,1,1,0,A01K73/06;;A01K77/00;;B66F19/00,A01K73/06,,0,0,,,,EXPIRED
811,WO,A1,WO 2018/137969 A1,168-379-294-667-179,2018-08-02,2018,EP 2018050977 W,2018-01-16,DE 102017101753 A,2017-01-30,WIRE MESH,"The invention relates to a wire mesh (10a), in particular a safety net, comprising multiple coils (12a, 14a) which are braided into one another and at least one coil (12a) of which is made of at least one individual wire, a wire bundle, a wire strand, a wire rope, and/or another longitudinal element (16a) with at least one wire (18a) made of a high-strength steel and has a plurality of limbs (20a, 22a), a plurality of bending points (24a) connecting two respective limbs (20a, 22a), and a transverse extension (44a) along a frontal direction (54a) perpendicularly to a main extension plane of the coil (12a). According to the invention, a test piece (46a) which is removed from the coil (12a) and which comprises at least five limbs and at least four bending points exhibits a load-deflection curve (56a; 56f; 56g; 56h; 56i; 56j) in a compression test between parallel plates (48a, 50a), said test including a pressing process by means of a movement of the plates (48a, 50a) along a pressing section (52a) parallel to the frontal direction (54a), wherein the load-deflection curve has an at least approximately linear first sub-characteristic line (60a; 60f; 60g; 60h; 60i; 60j) with a first inclination starting from the beginning of the press section (52a) in a pressing section force diagram (58a; 58f; 58g; 58h; 58i; 58j).",GEOBRUGG AG,WENDELER-GÖGGELMANN CORINNA,,https://lens.org/168-379-294-667-179,Patent Application,yes,4,0,14,14,0,E01F7/04;;E04H17/05;;A01K61/60;;A01K77/00;;B21F27/005;;E01F7/045;;E01F13/12;;E02D17/202;;E04F13/07;;E06B9/52;;E06B2009/524;;E21D11/152;;E04H17/05,E01F7/04,,0,0,,,,PENDING
812,FR,B1,FR 2582190 B1,176-009-018-921-259,1987-07-24,1987,FR 8507833 A,1985-05-22,FR 8507833 A,1985-05-22,CALIBRE A POISSON,,CHAT JEAN LOUIS,,,https://lens.org/176-009-018-921-259,Granted Patent,no,0,0,2,4,0,A01K97/00;;A01K77/00;;G01B3/04,A01K77/00;;A01K97/00;;G01B3/04,,0,0,,,,EXPIRED
813,US,A,US 412773 A,170-587-245-473-261,1889-10-15,1889,US 412773D A,,,,US 412773 A,,,,,https://lens.org/170-587-245-473-261,Granted Patent,no,0,9,1,1,0,A01K77/00;;A01K77/00,,,0,0,,,,EXPIRED
814,CN,A,CN 115176771 A,177-884-053-993-25X,2022-10-14,2022,CN 202210797817 A,2022-07-08,CN 202210797817 A,2022-07-08,Shrimp seed catching device for emergency hypoxia transfer,"The invention relates to a shrimp seed catching device for emergency hypoxia transfer, which comprises a catching mechanism and an energy-saving air supply device, the catching mechanism comprises a handle, the handle is provided with an annular pipe, one side of the annular pipe is provided with a filter cartridge and a plurality of air nozzles, a plurality of side rods are arranged in the filter cartridge, the side rods are arranged on the annular pipe, and the rear sides of the plurality of side rods are jointly connected with a cross rod; a filter screen is arranged on one side of the cross-shaped rod, a pneumatic motor is arranged on the other side of the cross-shaped rod, a first exhaust pipe and a first air inlet pipe are connected to the pneumatic motor, the first exhaust pipe is connected to the annular pipe, a flow adjusting valve is arranged on the first air inlet pipe, and an energy-saving air supply device is connected to the first air inlet pipe. The pneumatic motor is used for driving the paddle to rotate so as to push the filter cartridge to move forwards, so that labor is saved when the filter cartridge is moved underwater through the handle, air exhausted from the pneumatic motor enters the annular pipe and then is sprayed to the rear side of the filter cartridge through the air spraying opening, pushing force is further provided, operation is more labor-saving, and the air is sprayed into water for oxygen supply; and the hypoxia condition of the shrimp seeds in the filter cartridge and the feeding pond is greatly relieved.",HAINAN HAIYI AQUATIC PRODUCT SEEDLING CO LTD,CHEN FEIYE;;CAI ZHUODONG;;WANG LEI;;PENG ZHANGMING;;WU SHIYANG;;DAI XIAOLIAN,,https://lens.org/177-884-053-993-25X,Patent Application,no,0,0,1,1,0,A01K77/00;;A01K63/042;;F03D9/17;;Y02A40/81,A01K77/00;;A01K63/04;;F03D9/17,,0,0,,,,PENDING
815,GB,D0,GB 201317077 D0,177-687-010-413-603,2013-11-06,2013,GB 201317077 A,2013-09-26,GB 201312026 A,2013-07-04,A fishing drop/landing net with hinged frames allowing the net to lock for use and fold in half for transportation,,TUNNICLIFF RICHARD,,,https://lens.org/177-687-010-413-603,Patent Application,no,0,0,3,3,0,A01K77/00;;A01K77/00,,,0,0,,,,DISCONTINUED
816,US,A,US 4450643 A,179-979-043-898-851,1984-05-29,1984,US 44870282 A,1982-12-10,US 44870282 A,1982-12-10,Fishing net,"An improved landing net of the type having a handle supporting a frame having an opening at the end of the frame away from the handle and a ""U""-shaped member pivotally secured by the ends of the ""U""-shaped member to the frame at the opening for providing a slotted support for a net secured to the frame and ""U""-shaped member, provides a position lock for one or both pivoted ends of the ""U""-shaped member, converting it from a floppy, still-water landing net to a versatile landing net usable in high current flow situations for netting large fish head-first with fishing boat underway, for example, or for netting tail-first, if desired, and without sacrifice of folding compactly to a carriage position, from which position the invention is instantly deployable by a snap of the wrists.",COX THEODORE W,COX THEODORE W,,https://lens.org/179-979-043-898-851,Granted Patent,yes,1,3,1,1,0,A01K77/00;;A01K77/00,A01K77/00,43/12,0,0,,,,EXPIRED
817,JP,A,JP 2003259763 A,177-994-422-068-316,2003-09-16,2003,JP 2002300946 A,2002-10-15,KR 20020012743 A,2002-03-09,AUTOMATIC SEPARATOR FOR FISHING EQUIPMENT,"<P>PROBLEM TO BE SOLVED: To bring fishing equipment to be easily separated from a rope when the equipment sunk on the sea bottom is pulled up onto a boat. <P>SOLUTION: The automatic separator of the fishing equipment includes a separation unit 200 for separating the fishing equipment, a vertical pole 120 and a support unit 100. The separation unit 200 is arranged to be parallel in front of and under a guide pulley 220 for guiding a main rope 10 with a predetermined space and has a guide roller 230 for guiding the main rope 10 to vertically pass through between a pair of separation rollers 210 installed in front of and under the pair of separation rollers 210 for separating a device for separating combination of the fishing equipment from the main rope 10 when the main rope passes through the space. The vertical pole 120 is vertically extended from a deck and stretchable by actuators 150, 160 installed in the middle of the pole. The support unit 100 has a horizontal pole 130, a support pole 140 extended from the horizontal pole 130 and connected with the separator 200 and a rotation device for rotating the vertical pole 120 around its vertical central axis. <P>COPYRIGHT: (C)2003,JPO",BOKU MEIGO,BOKU MEIGO,,https://lens.org/177-994-422-068-316,Patent Application,no,0,0,4,4,0,A01K73/06;;A01K77/00,A01K69/00;;A01K77/00,,0,0,,,,EXPIRED
818,KR,B1,KR 101103390 B1,180-504-715-994-464,2012-01-06,2012,KR 20100022158 A,2010-03-12,KR 20100022158 A,2010-03-12,Fishing net pulling up apparatus for ship,,,,,https://lens.org/180-504-715-994-464,Granted Patent,no,4,3,2,2,0,A01K73/06;;A01K77/00;;B66F19/00,A01K77/00,,0,0,,,,ACTIVE
819,US,A,US 2645874 A,180-339-296-082-439,1953-07-21,1953,US 19901350 A,1950-12-04,US 19901350 A,1950-12-04,Fisherman's landing net,,COLLINS GEORGE R,COLLINS GEORGE R,,https://lens.org/180-339-296-082-439,Granted Patent,no,12,12,1,1,0,A01K77/00;;A01K77/00;;Y10S16/90,A01K77/00,,0,0,,,,EXPIRED
820,KR,U,KR 20000019935 U,182-140-972-220-345,2000-11-25,2000,KR 19990006791 U,1999-04-23,KR 19990006791 U,1999-04-23,A FRAME FIXING DEVICE OF THE LANDING NET FOR FISHING,"본 고안은 낚시용 뜰채의 후레임과 손잡이대를 고정시키는 후레임 고정장치에 관한 것으로서, 종래의 낚시용 뜰채의 후레임 고정장치는 축심 방향의 나사체결방식을 적용하여 뜰채의 사용시 나사체결부가 불완전하게 체결되거나 이완되어 고정장치가 풀어져서 사용상의 안정성이 저하되는 문제점이 있었다. 본 고안인 낚시용 뜰채의 후레임 고정장치는 뜰채의 후레임과 손잡이대 간에 풀림현상이 없는 커플링 축이음 방식을 적용하여 착탈을 신속·용이하게 하며, 후레임과 손잡이대를 완벽하게 고정시킬 수 있다.",박성모,박성모,,https://lens.org/182-140-972-220-345,Patent Application,no,0,0,2,2,0,A01K77/005,,,0,0,,,,EXPIRED
821,US,B2,US 6908216 B2,186-005-284-756-940,2005-06-21,2005,US 62260203 A,2003-07-17,US 62260203 A,2003-07-17,Flashlight holder for fishing net,"A flashlight holder is provided for removably attaching a flashlight to a tubular handle of a handheld fishing net. The flashlight holder has a first resilient clamp assembly that clamps over the tubular handle of the fishing net. The first resilient clamp assembly includes a generally tubular sleeve having an opening along one side that allows the tubular structure to expand and snap over the outer surface of the tubular handle of the fishing net. In one embodiment, the flashlight holder is attached to the flashlight by a second resilient clamp assembly that snaps over the tubular housing of the flashlight. In another embodiment, the flashlight holder is attached to the flashlight by an adhesive or by making the flashlight holder integral with the housing of the flashlight. A safety strap is provided to ensure the flashlight holder does not become detached inadvertently from the handle of the fishing net.",LOVE JACK G.,LOVE JACK G,,https://lens.org/186-005-284-756-940,Granted Patent,yes,16,17,2,2,0,A01K75/02;;A01K77/00;;F21V21/0885;;F21V33/008;;A01K77/00;;F21V21/0885;;A01K75/02;;F21V33/008,A01K75/02;;A01K77/00;;F21V21/088;;F21V33/00,362/253;;362/202;;362/191;;362/396;;43/17.5,0,0,,,,EXPIRED
822,KR,Y1,KR 200376368 Y1,184-434-103-313-239,2005-03-11,2005,KR 20040033155 U,2004-11-23,KR 20040033155 U,2004-11-23,Fishing net pulling up apparatus for ship,,,,,https://lens.org/184-434-103-313-239,Unknown,no,0,0,1,1,0,A01K73/06;;A01K77/00,A01K77/00;;A01K73/06,,0,0,,,,EXPIRED
823,CA,A1,CA 2358188 A1,178-951-029-876-719,2003-04-02,2003,CA 2358188 A,2001-10-02,CA 2358188 A;;DE 20116250 U;;FR 0114006 A;;GB 0123316 A;;US 96340001 A,2001-09-27,HAND NET FRAME,"A hand net frame for the binding of a net to form a hand net, having a main body and a wooden covering layer covering at least one part of the main body, the main body having an annular head and a shaft extended outwards from the periphery of the head at one side, the head having a plurality of string holes for the binding of strings of the net, the head and the shaft being respectively formed of a roll of laminated fiber reinforced plastic sheet materials.",YU KUO-PIN,YU KUO-PIN,,https://lens.org/178-951-029-876-719,Patent Application,no,0,0,9,9,0,A01K77/00;;A01K77/00,A01K77/00,,0,0,,,,DISCONTINUED
